description,direccion,fot,irregular,medidas,esquina,barrio,frentes,pileta,urb_cerrada,posesion,urb_semicerrada,preventa,indiviso,a_demoler,es_multioferta,es_monetizable,loteo_ph
"Zona rural, predio cerrado, semiprivado de 16 x 25 mts, lote 6 excelente ubicaion con arbolado, todos los servicios",lote 6,,,16 x 25,,,,,,,True,,,,,,
Excelente lote de 320 mts. ubicado en General Rodríguez. Barrio semicerrado a 10 minutos del centro de General Rodríguez y A 4000 MTS del Acceso Oeste frente al un club de polo. Inmejorable ubicación.,,,,,,,,,,,True,,,,,,
"Gran oportunidad, apto Procrear. Avenida 38 y 147 San Carlos, exclusivos loteo 10 x 28 mts (PH) en barrio semicerrado ALTOS DE DON PEDRO a minutos de la Ciudad, servicios, apto Banco, totalmente independiente o sea no es parte indivisa. Muy buenas perspectivas, zona en progreso. Posibilidad de financiación particular a convenir. Desde U$D 24.900",Avenida 38 y 147,,,10 x 28,,,,,,,True,,,,,,True
"OPORTUNIDAD ULTIMOS LOTES EN BARRIO ABIERTO GARIN LOTES 12 x 25 PREVENTA A 12 MESES SE ENTREGAN CON TENDIDO ELECTRICO APROBADO POR EDENOR. CALLES ASFALTADAS. PILAR DE LUZ ANTICIPO 5.000 USD Y 60 CTAS FIJAS TAMBIEN PODES ENTREGAR UN ANTICIPO DE 1.800.000 PESOS Y EL RESTO EN 60 CTAS VARIABLE AL UVA. PARA MAS INFORMACION COMUNICATE CON DANIELA REINOSO VENDEDORA POBLAR DESARROLLOS. Servicios: Gas, Pavimento. Características: Medianera, Alambrado perimetral. Nos encontramos con un Barrio semi cerrado de 6 hectáreas, con lotes de 350 m2 en adelante, a metros de la ruta 25 que comunica escobar con pilar, todos lotes son escriturables y sin expensas. San Juan Bautista se caracteriza por su tranquilidad y su entorno privilegiado, con mucha naturaleza en los alrededores y con una vegetación única. Precios de pre venta y únicamente para las primeras 40 unidades. Te invitamos a que conozcas el predio y puedas formar parte de nuestra cartera de clientes, ya que nos están conociendo y eligiendo.""",,,,12 x 25,,BARRIO ABIERTO GARIN,,,,,True,True,,,True,True,
"Importantes lotes de 1250 m2 promedio en Fincas de Lima. Lotes perimetrales. ¡Con Posesión Inmediata! ¡Planes de financiación! FINCAS DE LIMA es un desarrollo de 17has con solo 100 lotes de 1250 m2 promedio. Ubicado en Lima, partido de Zárate, se encuentra a unos 100kms de CABA, a poco más de una hora en auto con acceso directo por autopista. Se accede desde la Ruta NÂ°9 por el Camino Km103. Con un entorno arbolado y en contacto con la naturaleza, es un espacio ideal para familias en busca de una mejor calidad de vida. El barrio semi cerrado posee sólo dos accesos con tranqueras, uno desde la ruta (por Camino KM103) y el segundo desde el pueblo de Lima, otorgando seguridad y privacidad a las familias. Cuentan con servicio eléctrico con tendido aéreo; calles internas mejoradas, cerco perimetral. El valor corresponde al pago de contado para los lotes: 62; 86; 88 y 91 Las dimensiones de algunos lotes varían entre 1233 m2 y 1250 m2 Las medidas, porcentuales, y superficies son aproximadas. Las medidas definitivas surgen del tÃtulo de propiedad, plano municipal y/o plano de mensura. Con 1.251 m2 su fondo de 28 metros se ubica sobre el hoyo 1 de la colorada, en el Barrio Pebble Beach de Pilar Golf. ¡Apto para construir inmediatamente! El precio publicado es por pago al contado. Ofrecemos financiación: USD 68.000 como anticipo y 24 cuotas de USD 6.000. Te invitamos a recorrer el el lugar y estamos a tu disposición para todo lo que quieras saber.",,,,,,Barrio Pebble Beach de Pilar Golf,,,,,True,,,,True,True,
"Corredor Responsable: Francisco Ezequiel Errico CMCPDJLP 7292 Contacto: Damian Dominguez MLS ID # 5 entre 489 y 490. BARRIO SEMICERRADO ""DON ATILIO"". Ubicado a 5 minutos del centro de City bell, y 20 minutos de La Plata. Excelente entorno en pleno crecimiento. Lote en PH de 11, 5 por 41, 5 mts. El Barrio ""Don Atilio"", está compuesto por 10 lotes con ingreso por portón principal y calle con acceso en común. El loteo se encuentra alambrado en todo su perímetro. Posee servicios de luz, agua y gas. Cámaras de seguridad. Posibilidad de financiación. Consultar por otras medidas disponibles. CONSULTAR POR CONSTRUCCIÓN LLAVE EN MANO ",5 entre 489 y 490,,,,,,,,,,True,,,,,,True
"Corredor Responsable: Verónica Lorena Paz Mat. N° 231 Contacto: Veronica Lorena Paz MLS ID # RE/MAX SEED OFRECE A LA VENTA UN TERRENO EN SAN PEDRO , PCIA DE BS AS Ubicado a pocas cuadras del Río, barrio semiprivado, en pleno crecimiento con casas nuevas y en construcción Con una superficie total de 300 m2 (15 m de frente por 20 m de fondo) Ideal para construcción de vivienda familiar o casa quinta. Acepta terreno en Mar del Plata No dudes en consultarme!",,,,15 x 20,,,,,,,True,,,True,,,
"Barrio semicerrado ECO SUCRE ubicado sobre la calle Sucre (asfaltada) . La Zona muy tranquila, a 300 mts del acceso a Puertos a Panamericana (Av. de los Lagos). A 1500 mts de Avenida Mendoza (Maschwitz). Se trata de un barrio muy chico y tranquilo con acceso controlado por cámara (No tiene vigilancia). Cuenta con luz, gas e internet por fibra óptica. Próximamente contará también con agua corriente AYSA. Portón eléctrico para propietarios. Tendido eléctrico subterráneo, tendido de Gas natural en cada lote. Pilar normalizado, el cual da acceso en cada lote a los servicios. Instalación de artefactos de iluminarias públicas en las calles. Al tratarse de un desarrollo abierto no posee expensas. Este hermoso lote tiene 504 mts. y arboleda añosa en todo su perímetro. Cuenta con planos ya aprobados para construir una vivienda de 139 mts, ademas el Lote es apto comercial (ver cuadro de usos de la zonifciacion) CSI 4784 Servicios: Cloacas, Gas Características: Alambrado perimetral",,,,,,,,,,,True,,,,,True,
"Venta de lotes dentro del barrio semi cerrado ''Las Victorias'', en la localidad de Abasto Disponibilidad: 4 Lote 10 medidas: 10.06 x 25 Lote 13 medidas: 10.06 x 25 Lote 42 medidas: 10.06 x 25 Lote 65 medidas: 10.06 x 25. Servicios: Luz Valor: U$S 7500 (x lote) PUEDE TOMAR VEHICULO COMO PARTE DE PAGO Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias). #1314",Lote 10;Lote 13;Lote 42;Lote 65,,,10.06 x 25,,barrio semi,,,,,True,,,,True,,
"Barrio Semiprivado Los Eucaliptos LOTE DE 620 M2 EN VENTA | Los Eucaliptos es un desarrollo creado para aquellas familias que buscan vivir en un entorno rodeado de naturaleza, con todos los servicios a disposición y con bajas expensas sin resignar la seguridad, y asi darle lugar a una mejor calidad de vida. Los Eucaliptos es un barrio semiprivado, desarrollado sobre una fracción de 6.000 m2, que se encuentra cerca de Del Viso Centro y solo a 400 mts de Ruta 8 que lleva a Pilar Centro o a Jose C. Paz, lo cual permite contar a su alrededor con colegios, hospitales, supermercados, y todos los servicios necesarios para el día a día. El Barrio da lugar a 8 lotes de 620 m2, los cuales cuentan con una forestación abundante, a los cuales se accede por un portón eléctrico, calle de asfalto y todos sus perímetros son muy buenos ya que esta rodeado de otros desarrollos y quintas. POSESION INMEDIATA: El barrio ya se encuentra totalmente terminado y los lotes listos para escriturar. DISPOSICIONES: Portón eléctrico. Asfalto. Cercado perimetral. Iluminarias de calle. Arboles nativos. SERVICIOS: Red eléctrica, Luz. Red de gas Natural. Cloacas de pozo. Agua de pozo. Tritubo para futura fibra óptica, telefonía e internet. SIN EXPENSAS Precio lotes de contado u$s 50.000. Financiado u$s 54.000: Adelanto u$s 30.000 y 24 cuotas de u$s 1.000. Contactanos, coordinamos tu visita! Virginia Mattio CSI 6752 ",,,,,,Barrio Semiprivado Los Eucaliptos LOTE,,,,,True,,,,True,True,
"Venta de lotes dentro del barrio semi cerrado ''El Juncal'', en la localidad de Melchor Romero Disponibilidad: 2. Lote 21 medidas: 10 x 25 Lote 42 medidas: 10 x 25 Servicios: Agua corriente y Luz Valor: U$S7000 (x lote). PUEDE TOMAR VEHICULO COMO PARTE DE PAGO Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias). #1437",Lote 21;Lote 42,,,10 x 25,,barrio semi,,,,,True,,,,True,,
"Lote en Barrio Semi cerrado. Manzana que comprende las calles : Alsina : Bustamante : Blandengues : Copello. Lotes de 144 mts ( 8.4 x 17.05 ) El loteo cuenta con terrenos a la calle y terenos internos, semi cerrado por 2 calles internas. Sobre asfalto. Lote Numero 2 Precio de contado. LISTO PARA ESCRITURAR Pardiñas Inmuebles",Lote Numero 2,,,8.4 x 17.05,,Barrio Semi,,,,,True,,,,,,
"El terreno ideal para tu casa en Parque Exaltación! Gran Lote de 1050 m2 Opción de sumar otro lindero de 1.550 m2 Inmejorable vista hacia el campo infinito. Excelente ubicación. A solo tres cuadras del ingreso del barrio y de la bajada de la Autopista. Escriturable Apto crédito Parque Exaltación es un barrio semicerradonmuy consolidado de más de 1.000 lotes forestados hace más de 30 años, cobrando un gran impulso en la última década. El Barrio Parque cuenta con una añeja e importante arboleda compuesta por variedades de Coníferas, Sauces , Eucaliptos entre otros. El acceso al barrio se encuentra exactamente a metros de la bajada del Km 74 de la nueva Autopista 8 a solo 10 minutos de Pilar Centro. Centros comerciales muy cercanos tanto en elRemanso, como en Parada de Robles. En BlueKorner Inmobiliaria Boutique contamos con los mejores lotes del Barrio Parque Exaltación / Remanso",,,,,,Barrio Parque Exaltación,,,,,,,,,,,
"Av 38 y 147 San Carlos. Exclusivos lotes en barrio semicerrado ""ALTOS DE DON PEDRO"" ,a minutos de la Ciudad, OPORTUNIDAD Ã°nica, casa alquilada ($103.000) sobre lote arbolado de 10.70 x 28 metros (PH), 2 dormitorios, cocina comedor equipada, lavadero, baño completo, 67 m2 cubiertos, fondo. Apto Banco. IMPORTANTE escritura inmediata. por UF no es parte indivisa. Tel 2455 o 221 15 .",Av 38 y 147,,,10.70 x 28,,,,,,,True,,,,,True,True
"Venta de Lote en Calle 600 y 18 Altos del Plata, Villa Elvira, La Plata. Medidas de 18 x 31. Lote de 558 m2 Totales. Servicios de Luz y Agua corriente. Calle de tierra. El lote se encuentra cerrado un Cerco premoldeado a la altura de 2 metros. También hay una construcción con el proyecto de tener 100 metros cubiertos de superficie. Precio U$D25.000, Se Vende por Boleto con Posesión próximo a escriturar la parte indivisa.",Calle 600 y 18,,,18 x 31,,,,,,True,,,True,,,True,
"VENTA TERRENO DE 22.52 x 43.30, GENERAL SAN MARTIN Ideal constructor Excelente lote sobre Güemes entre las de Rivadavia y Vidal. El mismo cuenta con una superficie total de 975 m2. sobre lote de 22.52 de frente x 43.30 mts de fondo A la fecha se puede escriturar el 60% del terreno el 40% restante se encuentra en etapa judicial ( usucapión)",,,,22.52 x 43.30,,,,,,True,,,,,,,
"Las Toninas, ciudad balneario del Partido de La Costa en la provincia de Buenos Aires, ubicada a 337 km de la Ciudad de Buenos Aires. Excelente lugar de ambiente familiar, con playas angostas de arena fina y aguas tranquilas, especial para proyectos o inversión. El terreno en venta se encuentra ubicado a 4 cuadras de la playa, sobre la calle 7 entre la 6 y 8 y cuenta con todos los servicios: agua, luz, gas y con todos los impuestos al día. A tener en cuenta: Se encuentra en proceso judicial de usucapión iniciado a los fines de obtener el título de propiedad. Posibilidad de otorgar cesión de derechos litigiosos. Con opción de financiación de dueño directo. ",calle 7 entre la 6 y 8,,,,,,,,,True,,,,,,,
"Venta de Lote en barrio santa Isabel Highland Park , Mar del Plata . Ponemos a la venta 4 lotes de 20 x 47 metros cada uno, en trámite de escrituración por usucapión, ubicados en la fracción 1 sobre la calle 749 asfaltada entre las calles 116 y 118, en barrio Highland park, pegado a golf. Marayui Country Club lotes a la venta, sobre la calle asfaltada 749 fracción 1, lotes 2 lote 3 lote 4 y lote 5. cada uno de 20 por 47 metros. los lotes están judicializados por tramite de usucapión, y se ha hecho cesión de derechos por escribanía, y se hará cesión de derechos y posesión al comprador en escribanía. tenemos toda la información pertinente de los lotes citados, se entrega con impuestos de Arba y municipal al día de la transferencia, los impuestos pagados son de Arba y municipal.",calles 116 y 118. lote 3;lote 4;lote 5,,,20 x 47,,barrio santa Isabel Highland Park,,,True,True,,,,,True,,
"Lote de 253 m2 a 600 metros del centro de San Vicente y 300 m de la Laguna de San Vicente. Dependiendo el sector, disponibilidad de escritura o prescipción adquisitiva (usucapión 20 ya años cumplidos). El barrio se encuentra en pleno desarrollo, es abierto y en un futuro pasará a ser cerrado. Servicios: Luz y agua y cloaca de pozo. Ya hay gente viviendo en el barrio",,,,,,,,,,True,,,,,,,
"LOTES EN VENTA EN TRISTAN SUAREZ, SOBRE CALLE LOS GIRASOLES ENTRE GADHINI Y MORENO MEDIDA DE CADA LOTE 10 x 35 VALOR DE CADA LOTE U$S 10.000 c/u.POSIBILIDAD DE FINANCIACION SE VENDEN JUNTOS O SEPARADOS Cesion de derechos posesorios",CALLE LOS GIRASOLES ENTRE GADHINI Y MORENO MEDIDA,,,10 x 35,,,,,,True,,,,,True,,
"Fraccion en venta en la localidad de Pavón, partido de Exaltación de La Cruz, sin mejoras. Escritura de derechos posesorios.",,,,,,,,,,True,,,,,,,
" VENDO LOTE barrio Los Chañares, Tanti, Punilla lotes de 700 m2 (20 x 35) Derechos Posesorios de mas de 50 años. Listo para Usucapión. SERVICIOS DE AGUA Y LUZ A CONECTAR. Video/Fotos: https://youtu.be/J8vYzQvuZU / https://nicolashnos.com/terreno venta tanti punilla/5718348 Geolocalización: https://goo.gl/maps/XfYgFekUqMj3zmBm8",,,,20 x 35,,barrio Los Chañares,,,,True,,,,,,,
"Casa con poco tiempo de uso, de dos plantas: En planta baja living comedor, baño, cocina. En planta alta dos habitaciones. Se encuentra sobre 1200 mts de terreno los cuales pueden comprarse juntos o separados (cada uno 600 mts) tiene cada unos sus planos. Es una posesion y la misma esta perfectad de papeles para hacer la escritura. Tiene una vista preciosa a las sierras! Consulte para ver sin compromiso!",,,,,,,,,,True,,,,,,True,
"TERRENO ZONA DE ALVEAR Y CAñADA, CORDOBA, cerca de Nueva Córdoba, 264 mts2, terreno irregular, ideal para emprendimiento, Derechos posesorios de mas de 25 años. Oportunidad de negocio!!! ESCUCHO OFERTAS DE CONTADO. PRECIO PUBLICADO: RECIBO VEHICULOS (1, 2, 3 ó 4) que no sean de alta gama ni invendibles, autos nacionales, vendibles, fáciles de hacer efectivo. LLAMAME LUCíA CORONEL RUIZ. Visitá nuestra web y enviame un Whatsapp (LU) por las propiedades que quieras ver!.MP 4199",,,True,,,,,,,True,,,,,,,
VENDO LOTE SALSIPUEDES 450 mts (15 x 30) con 20 años cumplidos de posesión a 3 cuadras del Hotel IMOS con Cesion de Derechos confeccionada en Escribanía.,,,,15 x 30,,,,,,True,,,,,,,
Inmobiliaria Perez Ferrero vende: LOTE en Villa pan de azúcar Cosquin superficie total: 1739 mts2 posee medidor con servicio de luz eléctrica y también medidor con servicio de agua corriente. ública de cesión de derechos posesorios veinteañal. Financiación propia Permutamos Recibimos vehículo Facilidad de pago,,,,,,,,,,True,,,,,,,
Inmobiliaria Perez Ferrero vende: LOTE en Villa Parque Siquiman n Las Tijeretas 655. superficie total: 608 mts2. poseen medidor con servicio de luz eléctrica y también medidor con servicio de agua corriente. Escrituras públicas de cesión de derechos posesorios veinteañal. Financiación propia. Permutamos. Recibimos vehículo. Facilidad de pago,,,,,,,,,,True,,,,,,,
"OPORTUNIDAD SOLO MES DE JUNIO 2022 San Sebastián, ubicado en el límite de Escobar y Pilar, es el barrio indicado para vos, que buscas siempre lo mejor para tu familia. Con un acceso en el km 54.5 de la autopista panamericana, cuenta con todos los servicios necesarios para que vivas la naturaleza de una forma diferente. 13 barrios comunicados por un boulevard, lagunas, cancha de golf y más de 100 hectáreas destinadas a los deportes conforman este maravilloso ecosistema, ideal para disfrutar todos los días junto con tus seres más queridos. 154 hectáreas de lagunas Cancha de golf Canchas de futbol y tenis Seguridad 24hs Club house Disponibles Lotes internos frente a Plaza 659 Mt. La mejor orientación del Barrio Nuestra Señora del Carmen. Área 13 Anticipo USD 14.200 Restan 19 cuotas de $ 87.239.00 + CAC y 3 refuerzos de $ 375.800.00 No paga expensas hasta la posesión enero 2026. Aclaramos que tenemos varios disponibles todos con buena orientación !!! No dejes de contactarnos para mayor información Remax Duo",,,,,,Barrio Nuestra Señora del Carmen,,,True,True,,True,,,,,
"venta departamento en ph. en complejo calle santa fe 735,bella vista. pdo de san miguel esta unidad se encuentra en contrafrente Unidad desarrollada en una planta techo loza,preparado para construccion en futuro en. compuesta por cocina comedor con mobiliario. dormitorio sin placard baño con tres sanitarios cochera descubierta total superficie 52.87 m SERVICIOS GAS ENVASADO. LUZ. AYSA 300. MUNICIPAL 450 SE DIVIDE PROPORCIONAL DE GASTO DE LUZ DE BOMBA DE AGUA. valor de venta u$s 70.000 apto credito bancario. puede financiar: 70% al boleto con posesión y saldo 30% en cuotas a convenir. ",,,,,,,,,,True,,,,True,,,True
Se ubica sobre Vieytes y Champagnat. Chacras de Canning. Superficie 38.500 m2 (110 x 350 metros) Superficie edificada aprox 180 m2 + Depósito VENTA: U$S 90 x m2 1 hectarea 10.000 m2 x U$S 90 = U$S 900.000 3.85 hectareas = U$S 3.465.000 VENTA: U$S 3.465.000,,,,110 x 350,,,,,,,,,,,,True,
"Venta lote en excelente ubicación, con construcción prácticamente para demoler. Soler al 700 Bahía Blanca. Ideal Desarrolladores. 8.66 mts de frente, 23 mts lado oeste, 19.60 mts lado este. Zonificación C2. FOT 2.4",,FOT 2.4,,,,,,,,,,,,True,,,
"Casa ideal inversores en construcción!!! Inmejorable casa en la calle Sgto. Cabral al 560, Lagos de Canning con $ de expensas (aprox). En su totalidad mide 670 m2, de los cuales 290 m2 son cubiertos y 380 m2 descubiertos. Características: altura 6 metros sin columnas. Portón: 4.80 mts. alto y 4.50 mts. ancho. Lote: 10 x 30. Cubiertos: 190 m2. Fuerza motriz. FOS 0.60. FOT 1.20.",calle Sgto. Cabral al 560,FOT 1.20,,10 x 30,,,,,,,,,,True,,,
Sobre Ruta 58 km 16 en Barrio San Lucas. En venta esté hermoso lote de 1112 m2 de los más grandes del barrio. Medidas exactas: Frente 43 mts. Lado izquierdo 40 mts. Lado derecho 49 mts y fondo de 15 mts.,,,,,,Barrio San Lucas,,,,,,,,,,,
"Pueyrredon 86 bis. Casa 4 dormitorios, 2 baños, patio con parrillero y cochera. Superficie del terreno de 145 m2 (irregular) con Frente de 7.5 metros, contra frente de 9.8 metros, y fondo de 19.17 metros. Planos de mensura desactualizados.",,,True,,,,,,,,,,,,,True,
"1.200 m2 Panamericana Km 42, mano a Capital. Localidad de Del Viso, Partido de Pilar. Provincia de Buenos Aires. 1.200 m2. lote 70 m de frente. Forma triangular. En esquina",lote 70,,True,,True,,,,,,,,,,,,
Lote en esquina entre las calles Moreno y Avellaneda. Superficie terreno 210 metros. Zonificacion Rma1. FOT 1.5. FOS 0.6. Posee una construccion de un antiguo local de 220 mts,calles Moreno y Avellaneda,FOT 1.5,,,True,,,,,,,,,,,True,
"Casa de 4 ambientes en Lomas del Mirador. Ubicada en Melo 836, Lomas del Mirador. Lote de 8.66 x 23. Vivienda con 100 años de antigüedad aprox. (ideal modernizar o demoler) de 90 m2 Cubiertos. Cocina. Comedor. Baño. Dormitorios. Patio. Terraza. Galpón. ZONIFICACION Zona: U2B. FOS 0.6. FOT 2.25. Densidad 700. Altura Máxima 13 mts",,FOT 2.25,,8.66 x 23,,,,,,,,,,True,,,
"Barrio Cerrado El Paso Del Viso, Lote A22. Lote interno, 744 m2. Cercano a área deportiva y entrada del barrio. El precio publicado incluye un 35% de descuento por ser valor de preventa",,,,,,Barrio Cerrado El Paso Del Viso,,,True,,,True,,,,,
"El lote 24 tiene 1.036 m2, con un frente de 23 metros en un área central del Barrio Pebble Beach de Pilar Golf. ¡Apto para construir inmediatamente! El precio publicado es para pago al contado. Ofrecemos finaciación: USD 49.000 como anticipo y 24 cuotas de USD 4.300. Te invitamos a recorrer el lugar y estamos a tu disposición para todo lo que quieras saber.",lote 24,,,,,Barrio Pebble Beach de Pilar Golf,,,,,,,,,,,
"Lote en Los Pasos 2 barrios del Jockey. Lote 05 en manzana E de 800 m2, ubicado en esquina, 20 x 40 mts. Los Pasos, Barrios cerrados del Jockey cuentan con accesos rápidos. Los mismos se encuentran ubicados en Fisherton dentro de la ciudad de Rosario y con acceso mediante puentes al Jockey Club. Ubicación preferencial cerca de la Autopista Rosario Córdoba, Calle Mendoza y Calle Urquiza. Cercano al del aeropuerto, al centro comercial de Fisherton Mall y a Funes.",Calle Mendoza y Calle Urquiza,,,20 x 40,True,,,,True,,,,,,,,
"Venta Lote IDEAL PROYECTO EDILICIO sobre José Indart entre Ocampo y Perón. Frente 10 Fondo 31. FOT 3. Actualmente posee dos casas construidas en muy buen estado con cochera pasante. Todas las medidas son aproximadas y provistas por el cliente. Información Adicional: gas natural. Servicios: cloacas, gas",,FOT 3,,10 x 31,,,,,,,,,,True,,,
Diagonal 80 esquina 115. Lote a la venta sobre una de las arterias principales de la ciudad de La Plata. El mismo posee una superficie total de 722 m2 y se encuentra ubicado sobre una esquina.,Diagonal 80 esquina 115,,,,True,,,,,,,,,,,,
"ATENCIÓN CONSTRUCTORAS: Excelente lote de 8.66 de Frente x 35 de largo, ideal inversión para construcción de departamentos en torre, emprendimiento o vivienda, en zona centrica En inmejorable ubicación sobre la calle Sitio de Montevideo entre Salta y Oncativo. posee un FOS de 0.6 y un FOT de 3. CONSULTE OPCIONES. SE ESCUCHAN OFERTAS. SE TOMA PROPIEDAD TERMINADA POR MENOR VALOR.",calle Sitio de Montevideo entre Salta y Oncativo,FOT de 3,,8.66 x 35,,,,,,,,,,,,,
"Lote en venta sobre la calle Rocal al 1600 entre Mons Blois y Fraga, que mide 12.90 mts de frente por 48 mts de fondo. En el mismo se encuentra construida una casa a refaccionar de 100 m2 cub aprox, de construcción solida con techo de losa. Zonificación Rmi (FOS 0.6 FOT 0.8). Posibilidad de construir PB + Primer Nivel. Ideal emprendimiento.",calle Rocal al 1600 entre Mons Blois y Fraga,FOT 0.8,,12.90 x 48,,,,,,,,,,True,,,
"Sobre la calle Lope de Vega al 2600 frente al Club de Golf San Martín y a cinco cuadras de Gral Paz, encontramos este lote irregular de 10 metros al frente y 11.91 al fondo y de 48 metros en uno de sus lados en tanto que el restante asciende a 53 metros. Buena ubicación y excelentes medidas.",calle Lope de Vega al 2600,,True,10 x 11.91,,,,,,,,,,,,,
Lote ubicado en barrio Parque Bristol en calle Las Heras esquina Falucho. Las medidas del mismo son de 20 x 11. Se encuentra a unas 12 cuadras del mar. FOS 0.60. FOT 0.60. UNIFAMILIAR. Expensas: 0,calle Las Heras esquina Falucho,FOT 0.60,,20 x 11,True,barrio Parque Bristol,,,,,,,,,,,
"Lote con una superficie total de 248 mts. MEDIDAS: 8.67 mts de frente 8.66 mts al contrafrente 28.50 mts al nord oeste 27.97 mts al nord este. Zonificacion R3. FOT 1.2. UBCACION: La propiedad se encuentra ubicada sobre la calle Islas Malvinas n° 1061 entre Urquiza y Azcuénaga, a 1 cuadra de Carlos Pellegrini, 3 cuadras de Andrés Baranda y solo 10 cuadras de la estación de tren de Quilmes.",calle Islas Malvinas n° 1061 entre Urquiza y Azcuénaga,FOT 1.2,,,,,,,,,,,,,,,
"Ubicados sobre la Calle De Luca entre calle Alsina y Av. San Martín (arteria principal de acceso). A sólo 350 metros de la Ruta Provincial N° 6. Localidad de Los Cardales, Partido de Exaltación de la Cruz, Provincia de Buenos Aires. Características: Se trata de dos terrenos ubicados en el casco urbano de Los Cardales. Se encuentran dentro de la Zona Residencial Comercial de Densidad Media Baja (RCmb) acorde al Código de Planeamiento de Exaltación de la Cruz en la cuál se admite la edificación de departamentos y locales comerciales. Con indicadores de ocupación de: FOS: O.6 y FOT: 1.",Calle De Luca entre calle Alsina y Av. San Martín,FOT: 1,,,,,,,,,,,,,,,
Terreno ubicado sobre calle Buenos Aires entre la calles Cerrito e Ituzaingó. Terreno irregular: Frente: 10.38 (contra frente 5.71) Fondo: 19.93. Según análisis normativa: posibilidad de PB +10,calle Buenos Aires entre la calles Cerrito e Ituzaingó,,True,,,,,,,,,,,,,,
"Terreno en el barrio Altos del Mar en San Clemente del Tuyú. En calle 8 esquina calle 104 con frente al Barrio Playa Grande. Lote a 400 mts de la playa. Medidas 20 x 20 mts. El terreno tiene pilar de la luz. Tiene escritura, por lo que se escritura inmediatamente a su nombre. Lo reserva con 750 dólares, al firmar el boleto abona 4.500 dólares y al firmar la escritura abona 10.500 dólares.",calle 8 esquina calle 104,,,20 x 20,True,barrio Altos del Mar en San Clemente del Tuyú,,,,,,,,,,,
Calle 78 entre 28 y 29. Lote en venta Características: lote de 10 x 30 mts. Valor: U$S 15.000,Calle 78 entre 28 y 29,,,10 x 30,,,,,,,,,,,,,
Semipiso de 1 dormitorio la estrenar en calle 7 e/ 71 y 72. Disponible en piso 5° al frente y 6° al contrafrente. Excelente iluminación y ventilación cruzada. ALQUILADO DESDE MARZO 2023 A $70.000 un dormitorio con placar living con balcón cocina con mueble bajo mesada baño completo lavadero separado cochera optativa. Listo para escriturar.,calle 7 e/ 71 y 72,,,,,,,,,,,,,,,True,
"Terreno en venta ubicado sobre calle 49 y 25 (Villa Elisa, La Plata, Buenos Aires). Con disposición frente y orientación este. De medidas regulares y en condición de esquina, cuenta con 13 mts de frente por 33 mts, contabilizando una superficie total de 438 mts2. Dispone de una gran forestación. Acceso por calle de ripio y con los servicios de electricidad y agua corriente disponibles en el lugar.",calle 49 y 25,,,,True,,,,,,,,,,,,
"Terreno en venta ubicado sobre calle 487 entre 133 y 134 (Joaquín Gorina, La Plata, Buenos Aires). Con disposición frente y orientación norte. De medidas regulares, cuenta con una superficie total aproximada de 319 m2. Acceso por calle de tierra mejorada con los servicios de electricidad, agua, gas natural y cable disponibles en la zona.",calle 487 entre 133 y 134,,,,,,,,,,,,,,,,
Casa sobre calle 40 e/ 22 y 23 de La Plata. Lote irregular: Frente: 9 mts. Lateral Der.: 36.85 mts. Lateral Izq.: 27.85 mts. Contra Frente: 12.72,calle 40 e/ 22 y 23,,True,,,,,,,,,,,,,,
"Ubicación: Calle 2 bis N° 1427 entre 517 y 518, Ringuelet, La Plata. Medidas del lote: 10 metros de frente por 27.5 metros de fondo. Comodidades: 2 dormitorio, cocina, living comedor, baño, garage, entrada para auto, patio, lavadero, fondo libre.",Calle 2 bis N° 1427 entre 517 y 518,,,10 x 27.5,,,,,,,,,,,,True,
"Importante lote ubicado en excelente esquina de La Plata, con un superficie total de 1975 m2, con medidas de 32.91 m2 sobre calle 19 y 60.00 sobre calle 36. Zonificación UC/3, con un FOT de 5135 m2. El lote posee un total de 450 m2 edificados.",,FOT de 5135 m2,,,True,,,,,,,,,,,True,
"Excelente lote de 586 m2, sobre calle 117 entre 526 y 527. Ideal Inversores constructores, muy baja incidencia. Ancho 10 metros x 60 en su parte mas larga y 55.50 en la parte mas corta. FOS 0.6 FOT 0.8. Densidad x Ha 300. Zona UR2. Permitido 10 UF. Escritura inmediata. Proyecto de 10 UF+cocheras",calle 117 entre 526 y 527,FOT 0.8,,10 x 60,,,,,,,,,,,,,
Avenida Montevideo y 105. Lote de 8.66 x 26 mts. Ideal emprendimiento. Zona S2 R3 con cloacas. FOS 0.6 y FOT 1.8 Densidad 800 habitantes.,Avenida Montevideo y 105,FOT 1.8,,8.66 x 26,,,,,,,,,,,,,
"Venta de lote en Flores, Capital Federal. GRAN PROYECTO INMOBILIARIO POSIBLE. Frente 8.66 x fondo 38.1 m2 en Flores CABA. USAA (C3II). Sobre Avenida Directorio esquina Avenida San Pedrito. Gran flujo vehicular y peatonal",Avenida Directorio esquina Avenida San Pedrito,,,8.66 x 38.1,True,,,,,,,,,,,,
